Tub,Species,Density,Phrag_Presence,Block,Native.Biomass,Phrag.Biomass,Notes,
BOMA HWO,BOMA,H,WO,1,0.3,NA,,
SYCI LWO,SYCI,L,WO,1,29.6,NA,,
JUGE HW,JUGE,H,W,1,0.2,7.8,,
SCAM HW,SCAM,H,W,1,0.001,19.9,negligible,
DISP LW,DISP,L,W,1,6.4,12.7,,
EUMA LWO,EUMA,L,WO,1,24.3,NA,,
SCPU HW,SCPU,H,W,1,0.8,22.8,,
RUMA LW,RUMA,L,W,1,56.2,2.3,,
HENU HW,HENU,H,W,1,69.8,0.1,,
EUOC HW,EUOC,H,W,1,33.7,10.2,,
SOCA LW,SOCA,L,W,1,5.9,23.5,,
MUAS HWO,MUAS,H,WO,1,52.4,NA,,
MUAS HW,MUAS,H,W,1,50.9,9.3,,
SCAC LW,SCAC,L,W,1,0.2,37.1,,
HENU LWO,HENU,L,WO,1,104.6,NA,,
SCPU LW,SCPU,L,W,1,0.4,42.8,,
JUTO HWO,JUTO,H,WO,1,0.1,NA,,
PUNU LWO,PUNU,L,WO,1,10.5,NA,miswritten as PUNU HW,
JUAR LW,JUAR,L,W,1,1.9,46.7,,
BICE HWO,BICE,H,WO,1,114.4,NA,,
JUGE LWO,JUGE,L,WO,1,0.001,NA,negligible,
DISP HWO,DISP,H,WO,1,26.2,NA,,
JUTO LWO,JUTO,L,WO,1,NA,NA,no JUTO,
EUOC LWO,EUOC,L,WO,1,14.5,NA,,
SCAC HW,SCAC,H,W,1,0.8,16.8,,
PUNU LW,PUNU,L,W,1,11.8,14.3,,
RUMA LWO,RUMA,L,WO,1,75.9,NA,,
EUMA LW,EUMA,L,W,1,20,5.9,miswritten as HW,
SCAC HWO,SCAC,H,WO,1,3.9,NA,,
PHAU,PHAU,NA,W,1,NA,20.3,,
BICE LWO,BICE,L,WO,1,83.9,NA,,
BOMA LWO,BOMA,L,WO,1,0.4,NA,,
EPCI LWO,EPCI,L,WO,1,62.6,NA,,
HENU LW,HENU,L,W,1,51.1,0.3,,
SCPU LWO,SCPU,L,WO,1,0.6,NA,,
EUOC HWO,EUOC,H,WO,1,23.4,NA,,
SCAC LWO,SCAC,L,WO,1,1.4,NA,,
JUAR LWO,JUAR,L,WO,1,3.2,NA,,
HENU HWO,HENU,H,WO,1,87.6,NA,,
RUMA HW,RUMA,H,W,1,73.8,0.001,,negligible; too small to collect so no bag
EPCI HWO,EPCI,H,WO,1,57.5,NA,,
BICE LW,BICE,L,W,1,110.9,0.9,,
JUGE HWO,JUGE,H,WO,1,0.8,NA,,
EPCI HW,EPCI,H,W,1,56.7,0.6,,
JUTO LW,JUTO,L,W,1,0.001,18.2,negligible,
EUMA HWO,EUMA,H,WO,1,40.6,NA,,
SOCA LWO,SOCA,L,WO,1,8.5,NA,miswritten as SCAC LWO,
SYCI HWO,SYCI,H,WO,1,50.5,NA,,
JUGE LW,JUGE,L,W,1,NA,30.2,no JUGE; there is a bag with a negigible amount but I think it is a mistake,
EPCI LW,EPCI,L,W,1,47.6,13.6,,
PUNU HWO,PUNU,H,WO,1,25.8,NA,,
SCAM LW,SCAM,L,W,1,0.1,44.5,,
SYCI HW,SYCI,H,W,1,NA,43.6,no SYCI,
JUTO HW,JUTO,H,W,1,0.1,23.9,,
EUMA HW,EUMA,H,W,1,47.4,7.2,,
SOCA HWO,SOCA,H,WO,1,28.9,NA,,
RUMA HWO,RUMA,H,WO,1,91.2,NA,,
PUNU HW,PUNU,H,W,1,34.1,19.7,,
MUAS LWO,MUAS,L,WO,1,36.9,NA,,
BOMA HW,BOMA,H,W,1,0.1,30.8,,
JUAR HW,JUAR,H,W,1,3.4,44.9,,
DISP HW,DISP,H,W,1,23.3,26.8,,
SOCA HW,SOCA,H,W,1,21.9,16.2,,
DISP LWO,DISP,L,WO,1,0.4,NA,,
BOMA LW,BOMA,L,W,1,0.001,3.4,negligible,
SCPU HWO,SCPU,H,WO,1,0.2,NA,,
BICE HW,BICE,H,W,1,59.2,0.2,,
SYCI LW,SYCI,L,W,1,17.8,1.5,,
SCAM HWO,SCAM,H,WO,1,0.001,NA,negligible,
EUOC LW,EUOC,L,W,1,7.4,4.9,,
MUAS LW,MUAS,L,W,1,6.6,13.3,,
JUAR HWO,JUAR,H,WO,1,2.6,NA,,
SCAM LWO,SCAM,L,WO,1,NA,NA,no SCAM,
JUAR HWO,JUAR,H,WO,2,2.4,NA,,
HENU LW,HENU,L,W,2,77,0.5,,
SOCA HW,SOCA,H,W,2,5.5,4.3,another bag w/ negligible amount a mistake from SOCA HW,
BOMA HWO,BOMA,H,WO,2,0.001,NA,negligible,
RUMA LW,RUMA,L,W,2,35.8,0.9,,
BICE LWO,BICE,L,WO,2,50.6,NA,,
PUNU HWO,PUNU,H,WO,2,20.7,NA,,
SCPU HWO,SCPU,H,WO,2,1.2,NA,,
EUOC HWO,EUOC,H,WO,2,15.6,NA,,
JUGE LW,JUGE,L,W,2,0.001,15.6,negligible,
SCPU LW,SCPU,L,W,2,0.001,2.5,negligible,
SCAC HW,SCAC,H,W,2,0.3,8.3,,
BICE HWO,BICE,H,W,2,54.1,0.3,accidentally planted phrag,
EPCI LW,EPCI,L,W,2,16.3,0.2,,
EPCI HWO,EPCI,H,WO,2,48.6,NA,,
EUOC LW,EUOC,L,W,2,6.3,11.4,,
SCAC LWO,SCAC,L,WO,2,0.3,NA,,
SYCI LW,SYCI,L,W,2,23.7,10,,
HENU HW,HENU,H,W,2,71.8,0.2,,
SCPU LWO,SCPU,L,WO,2,0.4,NA,,
JUTO LWO,JUTO,L,WO,2,0.001,NA,negligible,
MUAS LW,MUAS,L,W,2,13.7,20.1,,
SCAM HW,SCAM,H,WO,2,0.1,NA,accidentally no phrag,
BOMA LW,BOMA,L,W,2,0.001,17.1,negligible,
JUGE HWO,JUGE,H,WO,2,0.1,NA,,
HENU HWO,HENU,H,WO,2,58.9,NA,,
JUAR LWO,JUAR,L,WO,2,1,NA,,
SYCI HW,SYCI,H,W,2,41.9,7.7,,
PHAU,PHAU,NA,W,2,NA,26.6,,
EPCI LWO,EPCI,L,WO,2,52.8,NA,,
BICE HW,BICE,H,W,2,98.8,0.6,,
HENU LWO,HENU,L,WO,2,61.5,NA,,
DISP HWO,DISP,H,WO,2,32,NA,,
PUNU LWO,PUNU,L,WO,2,18.2,NA,,
BOMA HW,BOMA,H,W,2,0.2,25.1,,
SYCI LWO,SYCI,L,WO,2,31.6,NA,,
BOMA LWO,BOMA,L,WO,2,0.1,NA,,
RUMA HW,RUMA,H,W,2,78.2,0.4,,
SOCA HWO,SOCA,H,WO,2,21.4,NA,accidentally labeled HW,
SCAM HWO,SCAM,H,WO,2,0.2,NA,,
SCAC HWO,SCAC,H,WO,2,3.3,NA,,
MUAS HWO,MUAS,H,WO,2,65.5,NA,,
SOCA LW,SOCA,L,W,2,6.8,26.9,,
EPCI HW,EPCI,H,W,2,80.7,1.7,,
JUTO HWO,JUTO,H,WO,2,0.2,NA,,
BICE LW,BICE,L,W,2,92.6,4.1,,
JUTO LW,JUTO,L,W,2,NA,19,no JUTO,
SYCI HWO,SYCI,H,WO,2,59.7,NA,,
EUMA LWO,EUMA,L,WO,2,24.2,NA,,
JUGE HW,JUGE,H,W,2,0.7,14.6,,
RUMA LWO,RUMA,L,WO,2,90.1,NA,,
SCAC LW,SCAC,L,W,2,0.6,42.1,,
SOCA LWO,SOCA,L,WO,2,11.9,NA,,
DISP LW,DISP,L,W,2,12.7,27.6,,
SCAM LWO,SCAM,L,WO,2,NA,NA,no SCAM,
EUMA LW,EUMA,L,W,2,26.1,25.6,,
JUAR LW,JUAR,L,W,2,0.7,18.4,,
EUMA HWO,EUMA,H,WO,2,36,NA,,
DISP HW,DISP,H,W,2,24,5.2,,
PUNU HW,PUNU,H,W,2,38.4,8.3,,
EUOC HW,EUOC,H,W,2,40.1,14.4,,
SCAM LW,SCAM,L,W,2,NA,37.4,no SCAM,
EUMA HW,EUMA,H,W,2,39.3,20.5,,
MUAS HW,MUAS,H,W,2,63.4,4.4,,
SCPU HW,SCPU,H,W,2,2.3,49.6,,
JUAR HW,JUAR,H,W,2,3.7,39.8,,
DISP LWO,DISP,L,WO,2,37.8,NA,,
EUOC LWO,EUOC,L,WO,2,33.2,NA,,
RUMA HWO,RUMA,H,WO,2,96.1,NA,,
MUAS LWO,MUAS,L,WO,2,72.1,NA,,
JUTO HW,JUTO,H,W,2,NA,22.6,no JUTO,
JUGE LWO,JUGE,L,WO,2,0.001,NA,negligible,
PUNU LW,PUNU,L,W,2,8.1,47.1,,
JUTO HWO,JUTO,H,WO,3,0.001,NA,negligible,
SCAM HW,SCAM,H,W,3,0.001,19,negligible,
EPCI HWO,EPCI,H,WO,3,87.5,NA,,
JUGE HW,JUGE,H,W,3,0.001,20.5,negligible,
BICE HWO,BICE,H,WO,3,79.5,NA,,
HENU HW,HENU,H,W,3,62.4,1,,
BOMA LW,BOMA,L,W,3,NA,25.8,no BOMA,
SCAC LWO,SCAC,L,WO,3,0.6,NA,,
HENU LW,HENU,L,W,3,33.9,0.6,,
JUTO HW,JUTO,H,W,3,0.001,5.3,negligible,bag missing - maybe not collected; only 1 plant grew in that tub so negigible
JUTO LW,JUTO,L,W,3,NA,10.5,no JUTO,
JUGE LWO,JUGE,L,WO,3,0.1,NA,bag chewed,
SYCI LWO,SYCI,L,WO,3,36.6,NA,,
EPCI HW,EPCI,H,W,3,59.6,0.001,negligible,
JUAR LW,JUAR,L,W,3,1.5,18.1,,
RUMA HW,RUMA,H,W,3,49.9,0.001,negligible,
SOCA HW,SOCA,H,W,3,14.8,12.5,,
PUNU LW,PUNU,L,W,3,13.5,7.9,,
EPCI LW,EPCI,L,W,3,33.4,0.4,,
SCPU LWO,SCPU,L,WO,3,0.2,NA,,
HENU LWO,HENU,L,WO,3,48.5,NA,,
SCAC HW,SCAC,H,W,3,1.2,15.1,,
HENU HWO,HENU,H,WO,3,63.6,NA,,
JUTO LWO,JUTO,L,WO,3,NA,NA,no JUTO,
SYCI HWO,SYCI,H,WO,3,38,NA,,
SCPU LW,SCPU,L,W,3,0.4,18.8,,
SCAC LW,SCAC,L,W,3,0.3,19.9,,
SCAM LWO,SCAM,L,WO,3,NA,NA,no SCAM,
EUOC LW,EUOC,L,W,3,16.1,7.4,,
JUAR HW,JUAR,H,W,3,1.5,19.9,,
JUGE HWO,JUGE,H,WO,3,1.1,NA,,
PUNU HW,PUNU,H,W,3,37.6,5.3,,
EUMA LWO,EUMA,L,WO,3,25,NA,,
JUAR HWO,JUAR,H,WO,3,2.7,NA,,
BOMA HW,BOMA,H,W,3,NA,9.6,no BOMA,
EUOC HWO,EUOC,H,WO,3,22.8,NA,,
BICE LW,BICE,L,W,3,36,1.9,,
RUMA LWO,RUMA,L,WO,3,42.2,NA,,
BICE LWO,BICE,L,WO,3,46.8,NA,,
SOCA LWO,SOCA,L,WO,3,8.5,NA,,
MUAS LWO,MUAS,L,WO,3,22.8,NA,,
RUMA LW,RUMA,L,W,3,59,0.5,,
BOMA HWO,BOMA,H,WO,3,0.1,NA,,
EUMA LW,EUMA,L,W,3,20.5,17.8,,
JUGE LW,JUGE,L,W,3,0.001,13.3,negligible,
DISP LW,DISP,L,W,3,6.7,8.1,,
BICE HW,BICE,H,W,3,58.5,0.1,,
SCAM LW,SCAM,L,W,3,0.001,12.4,negligible,
SYCI LW,SYCI,L,W,3,30.5,8.1,,
JUAR LWO,JUAR,L,WO,3,1.4,NA,,
MUAS LW,MUAS,L,W,3,19.4,11.9,,
DISP LWO,DISP,L,WO,3,10.1,NA,,
PUNU HWO,PUNU,H,WO,3,40.3,NA,,
RUMA HWO,RUMA,H,WO,3,56.3,NA,,
SOCA LW,SOCA,L,W,3,4.9,9.1,,
MUAS HW,MUAS,H,W,3,29.6,4.1,,
BOMA LWO,BOMA,L,WO,3,NA,NA,no BOMA,
EUOC LWO,EUOC,L,WO,3,18.6,NA,,
SCAM HWO,SCAM,H,WO,3,0.001,NA,negligible,
DISP HWO,DISP,H,WO,3,15.8,NA,,
EUMA HWO,EUMA,H,WO,3,21.5,NA,,
PHAU,PHAU,NA,W,3,NA,15.2,,
SYCI HW,SYCI,H,W,3,42.5,1.4,,
EUMA HW,EUMA,H,W,3,18.2,2.5,,
SCPU HW,SCPU,H,W,3,0.001,0.8,negligible,
EUOC HW,EUOC,H,W,3,17.9,1.4,,
MUAS HWO,MUAS,H,WO,3,22.3,NA,,
SCPU HWO,SCPU,H,WO,3,0.4,NA,,
PUNU LWO,PUNU,L,WO,3,24.2,NA,,
SOCA HWO,SOCA,H,WO,3,12.3,NA,,
DISP HW,DISP,H,W,3,5.7,1.7,,
EPCI LWO,EPCI,L,WO,3,33,NA,,
SCAC HWO,SCAC,H,WO,3,0.1,NA,,